state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Alabama,AL,Autauga,1001,Democrat,Hillary_Clinton,2387,0.8,Autauga_AL
Alabama,AL,Baldwin,1003,Democrat,Hillary_Clinton,5290,0.647,Baldwin_AL
Alabama,AL,Barbour,1005,Democrat,Hillary_Clinton,2567,0.906,Barbour_AL
Alabama,AL,Bullock,1011,Democrat,Hillary_Clinton,2451,0.913,Bullock_AL
Alabama,AL,Chambers,1017,Democrat,Hillary_Clinton,2899,0.886,Chambers_AL
Alabama,AL,Chilton,1021,Democrat,Hillary_Clinton,860,0.731,Chilton_AL
Alabama,AL,Choctaw,1023,Democrat,Hillary_Clinton,1772,0.802,Choctaw_AL
Alabama,AL,Colbert,1033,Democrat,Hillary_Clinton,3879,0.65,Colbert_AL
Alabama,AL,Conecuh,1035,Democrat,Hillary_Clinton,2031,0.714,Conecuh_AL
Alabama,AL,Coosa,1037,Democrat,Hillary_Clinton,1012,0.877,Coosa_AL
Alabama,AL,Crenshaw,1041,Democrat,Hillary_Clinton,908,0.878,Crenshaw_AL
Alabama,AL,Cullman,1043,Democrat,Hillary_Clinton,1275,0.608,Cullman_AL
Alabama,AL,Dale,1045,Democrat,Hillary_Clinton,1544,0.77,Dale_AL
Alabama,AL,Elmore,1051,Democrat,Hillary_Clinton,3019,0.801,Elmore_AL
Alabama,AL,Etowah,1055,Democrat,Hillary_Clinton,4262,0.746,Etowah_AL
Alabama,AL,Geneva,1061,Democrat,Hillary_Clinton,544,0.749,Geneva_AL
Alabama,AL,Hale,1065,Democrat,Hillary_Clinton,2426,0.796,Hale_AL
Alabama,AL,Jefferson,1073,Democrat,Hillary_Clinton,67357,0.816,Jefferson_AL
Alabama,AL,Lauderdale,1077,Democrat,Hillary_Clinton,3676,0.652,Lauderdale_AL
Alabama,AL,Limestone,1083,Democrat,Hillary_Clinton,3199,0.728,Limestone_AL
Alabama,AL,Madison,1089,Democrat,Hillary_Clinton,19995,0.686,Madison_AL
Alabama,AL,Marengo,1091,Democrat,Hillary_Clinton,3590,0.658,Marengo_AL
Alabama,AL,Mobile,1097,Democrat,Hillary_Clinton,28927,0.827,Mobile_AL
Alabama,AL,Morgan,1103,Democrat,Hillary_Clinton,3897,0.731,Morgan_AL
Alabama,AL,Perry,1105,Democrat,Hillary_Clinton,2575,0.82,Perry_AL
Alabama,AL,Russell,1113,Democrat,Hillary_Clinton,4381,0.728,Russell_AL
Alabama,AL,Talladega,1121,Democrat,Hillary_Clinton,5561,0.865,Talladega_AL
Alabama,AL,Tallapoosa,1123,Democrat,Hillary_Clinton,2658,0.88,Tallapoosa_AL
Alabama,AL,Tuscaloosa,1125,Democrat,Hillary_Clinton,12136,0.767,Tuscaloosa_AL
Alabama,AL,Walker,1127,Democrat,Hillary_Clinton,1772,0.671,Walker_AL
Alabama,AL,Wilcox,1131,Democrat,Hillary_Clinton,3337,0.843,Wilcox_AL
