state,state_abbreviation,county,fips,party,candidate,MAX(votes),fraction_votes,county_state
Alabama,AL,Autauga,1001,Republican,Donald_Trump,5387,0.445,Autauga_AL
Alabama,AL,Baldwin,1003,Republican,Donald_Trump,23618,0.469,Baldwin_AL
Alabama,AL,Barbour,1005,Republican,Donald_Trump,1710,0.501,Barbour_AL
Alabama,AL,Bullock,1011,Republican,Donald_Trump,313,0.565,Bullock_AL
Alabama,AL,Calhoun,1015,Republican,Donald_Trump,8960,0.451,Calhoun_AL
Alabama,AL,Chilton,1021,Republican,Donald_Trump,5273,0.493,Chilton_AL
Alabama,AL,Choctaw,1023,Republican,Donald_Trump,1070,0.499,Choctaw_AL
Alabama,AL,Coffee,1031,Republican,Donald_Trump,4304,0.414,Coffee_AL
Alabama,AL,Colbert,1033,Republican,Donald_Trump,3858,0.474,Colbert_AL
Alabama,AL,Conecuh,1035,Republican,Donald_Trump,768,0.59,Conecuh_AL
Alabama,AL,Coosa,1037,Republican,Donald_Trump,1233,0.553,Coosa_AL
Alabama,AL,Covington,1039,Republican,Donald_Trump,4608,0.481,Covington_AL
Alabama,AL,Crenshaw,1041,Republican,Donald_Trump,1496,0.545,Crenshaw_AL
Alabama,AL,Cullman,1043,Republican,Donald_Trump,10618,0.506,Cullman_AL
Alabama,AL,Dale,1045,Republican,Donald_Trump,4151,0.453,Dale_AL
Alabama,AL,Elmore,1051,Republican,Donald_Trump,8525,0.478,Elmore_AL
Alabama,AL,Etowah,1055,Republican,Donald_Trump,8657,0.461,Etowah_AL
Alabama,AL,Geneva,1061,Republican,Donald_Trump,3106,0.486,Geneva_AL
Alabama,AL,Houston,1069,Republican,Donald_Trump,8171,0.404,Houston_AL
Alabama,AL,Jefferson,1073,Republican,Donald_Trump,32853,0.35,Jefferson_AL
Alabama,AL,Lauderdale,1077,Republican,Donald_Trump,7502,0.421,Lauderdale_AL
Alabama,AL,Limestone,1083,Republican,Donald_Trump,8198,0.43,Limestone_AL
Alabama,AL,Madison,1089,Republican,Donald_Trump,23791,0.362,Madison_AL
Alabama,AL,Marengo,1091,Republican,Donald_Trump,580,0.539,Marengo_AL
Alabama,AL,Marshall,1095,Republican,Donald_Trump,9115,0.495,Marshall_AL
Alabama,AL,Mobile,1097,Republican,Donald_Trump,28326,0.452,Mobile_AL
Alabama,AL,Morgan,1103,Republican,Donald_Trump,10909,0.446,Morgan_AL
Alabama,AL,Pike,1109,Republican,Donald_Trump,2493,0.46,Pike_AL
Alabama,AL,Russell,1113,Republican,Donald_Trump,1784,0.474,Russell_AL
Alabama,AL,Talladega,1121,Republican,Donald_Trump,6304,0.51,Talladega_AL
Alabama,AL,Tallapoosa,1123,Republican,Donald_Trump,4658,0.528,Tallapoosa_AL
Alabama,AL,Tuscaloosa,1125,Republican,Donald_Trump,11652,0.375,Tuscaloosa_AL
Alabama,AL,Walker,1127,Republican,Donald_Trump,8394,0.551,Walker_AL
Alabama,AL,Winston,1133,Republican,Donald_Trump,3352,0.561,Winston_AL
Arizona,AZ,Apache,4001,Republican,Donald_Trump,1088,0.436,Apache_AZ
Arizona,AZ,Cochise,4003,Republican,Donald_Trump,6339,0.498,Cochise_AZ
Arizona,AZ,Coconino,4005,Republican,Donald_Trump,3324,0.392,Coconino_AZ
Arizona,AZ,Gila,4007,Republican,Donald_Trump,3065,0.539,Gila_AZ
